Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
,,,,,,,,,,,,,,,,Weldon,
ENGL,3330,1,Writing News Media,71%,14%,7%,0%,0%,0%,0%,0%,0%,7%,0%,0%,Pulley William M,
ENGL,3450,1,Intr Creative Writing: Fictio,88%,6%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,Matalone Sarah Elissa,
ENGL,3450,2,Intr Creative Writing: Fictio,90%,0%,0%,0%,0%,0%,0%,5%,0%,5%,0%,0%,Matalone Sarah Elissa,
ENGL,3460,1,Intr Creative Writing: Poet,78%,11%,6%,0%,0%,0%,0%,0%,0%,6%,0%,0%,Edwards Stephanie,
,,,,,,,,,,,,,,,,Lorraine,
ENGL,3480,1,Intr Creat Writ: Screenwriti,90%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,Lawson April Ayers,
ENGL,3570,1,Film,65%,15%,0%,0%,10%,0%,0%,5%,0%,5%,0%,0%,Troy Edward Thomas,
,,,,,,,,,,,,,,,,Joseph,
ENGL,3570,2,Film,63%,32%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Troy Edward Thomas,
,,,,,,,,,,,,,,,,Joseph,
ENGL,3570,3,Film,18%,47%,0%,0%,0%,0%,0%,6%,0%,24%,6%,0%,Monaghan Amy N,
ENGL,3570,4,Film,20%,40%,0%,0%,0%,0%,0%,0%,13%,20%,0%,7%,Monaghan Amy N,
ENGL,3800,1,Women Writers,63%,21%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,Makala Remley,
,,,,,,,,,,,,,,,,Melissa Edmundson,
ENGL,3850,1,Children's Lit,63%,19%,0%,0%,0%,0%,0%,6%,0%,6%,0%,6%,Godwin Hannah,
,,,,,,,,,,,,,,,,Pittman,
ENGL,3860,1,Adolescent Lit,35%,25%,20%,0%,0%,0%,0%,0%,0%,15%,5%,0%,MacAlystre Megan,
,,,,,,,,,,,,,,,,Noel,
ENGL,3960,1,Brit Lit Survey I,65%,15%,5%,0%,0%,0%,0%,5%,0%,10%,0%,0%,Lemons Andrew M,
ENGL,3960,2,Brit Lit Survey I,68%,26%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Lemons Andrew M,
ENGL,3980,1,Amer Lit Survey I,50%,25%,5%,0%,0%,0%,0%,10%,0%,5%,5%,0%,Ashton Susanna M,
ENGL,3990,1,Amer Lit Survey II,79%,11%,5%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Rogers Jamie Ann,
ENGL,3990,2,Amer Lit Survey II,79%,7%,0%,0%,0%,0%,0%,7%,0%,7%,0%,0%,Rogers Jamie Ann,
ENGL,4110,2,Shakespeare,75%,17%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Ghita Lucian,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 59 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ENGL,4110,3,Shakespeare,73%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Ghita Lucian,
ENGL,4160,1,Romantic Period,82%,0%,0%,0%,0%,0%,0%,12%,0%,0%,6%,0%,McGrath Brian M,
ENGL,4170,1,The Victorian Period,84%,5%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%,Manganelli Kimberly,
,,,,,,,,,,,,,,,,Snyder,
ENGL,4200,1,Amer Lit to 1799,88%,6%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,Field Jonathan,
,,,,,,,,,,,,,,,,Beecher,
ENGL,4210,1,Amer Lit 1800-1899,59%,24%,0%,0%,0%,0%,0%,6%,0%,0%,12%,0%,Mastroianni Dominic,
,,,,,,,,,,,,,,,,B,
ENGL,4320,2,Modern Fiction,68%,16%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,Stockton William H,
ENGL,4360,1,Feminist Literary Criticism,70%,20%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%,Rogers Jamie Ann,
ENGL,4420,2,Cultural Studies,60%,35%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,Hankins Gabriel,
,,,,,,,,,,,,,,,,Anderson,
ENGL,4500,2,Film Genres,80%,10%,0%,0%,0%,0%,0%,0%,5%,0%,5%,0%,Smith John Robert,
ENGL,4510,2,Film Theory and Criticism,42%,37%,0%,5%,0%,0%,0%,0%,16%,0%,0%,0%,Smith John Robert,
ENGL,4570,1,Global Hollywood,88%,0%,0%,0%,0%,0%,0%,0%,13%,0%,0%,0%,Bose Maria Selene,
ENGL,4850,1,Comp & Lang Teachers,80%,10%,0%,0%,0%,0%,0%,0%,0%,5%,5%,0%,Schreuder Mary-,
,,,,,,,,,,,,,,,,Celeste M,
ENGL,4960,1,Senior Seminar,58%,42%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Skrodzka Agnieszka,
ENGL,6370,4,Directed Studies: WAC Fell,93%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Bushnell Cameron,
,,,,,,,,,,,,,,,,Fae,
ENGL,8530,1,Visual Rhetorics,67%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,Skrodzka Agnieszka,
ENGL,8910,1,Master's Thesis Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Stockton William H,
ENGL,8920,1,Master's Project,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Stockton William H,
ENGR,1020,102,Engineering Discipl & Skills,32%,12%,12%,0%,6%,0%,0%,12%,0%,18%,3%,6%,Martin Baker A,
ENGR,1020,103,Engineering Discipl & Skills,42%,18%,9%,0%,6%,0%,0%,9%,0%,9%,3%,3%,Stephan Elizabeth,
,,,,,,,,,,,,,,,,Anne,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 60 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ENGR,1020,104,Engineering Discipl & Skills,38%,28%,0%,0%,3%,0%,0%,9%,0%,13%,9%,0%,Stephan Elizabeth,
,,,,,,,,,,,,,,,,Anne,
ENGR,1410,123,Programming & Problem S,29%,24%,5%,2%,2%,0%,0%,7%,0%,26%,0%,5%,Neptune Andrew,
,,,,,,,,,,,,,,,,Isaac,
ENGR,1410,124,Programming & Problem S,47%,33%,2%,0%,0%,0%,0%,0%,0%,19%,0%,0%,Neptune Andrew,
,,,,,,,,,,,,,,,,Isaac,
ENGR,1410,127,Programming & Problem S,44%,37%,5%,0%,0%,0%,0%,0%,0%,12%,0%,2%,Neptune Andrew,
,,,,,,,,,,,,,,,,Isaac,
ENGR,1410,324,Programming & Problem S,31%,21%,0%,0%,2%,0%,0%,7%,0%,33%,2%,2%,Sorensen Taylor,
,,,,,,,,,,,,,,,,James,
ENGR,1410,325,Programming & Problem S,10%,54%,5%,0%,0%,0%,0%,2%,0%,24%,2%,2%,Sorensen Taylor,
,,,,,,,,,,,,,,,,James,
ENGR,1410,326,Programming & Problem S,5%,34%,0%,0%,2%,0%,0%,5%,0%,34%,2%,17%,Sorensen Taylor,
,,,,,,,,,,,,,,,,James,
ENGR,1410,621,Programming & Problem S,26%,23%,10%,0%,0%,0%,0%,8%,0%,28%,5%,0%,Minor John C,
ENGR,1410,622,Programming & Problem S,33%,28%,5%,0%,0%,0%,0%,5%,0%,25%,0%,5%,Minor John C,
ENGR,1410,623,Programming & Problem S,46%,7%,2%,0%,2%,0%,0%,12%,0%,22%,7%,0%,Ferrara Irene Marie,
ENGR,1410,624,Programming & Problem S,46%,32%,0%,0%,2%,0%,0%,0%,0%,15%,2%,2%,Ferrara Irene Marie,
ENGR,1410,625,Programming & Problem S,34%,41%,5%,0%,0%,0%,0%,0%,0%,17%,0%,2%,Ferrara Irene Marie,
ENGR,1410,626,Programming & Problem S,47%,38%,0%,0%,0%,0%,0%,6%,0%,6%,3%,0%,Brandon Steven C,
ENGR,1410,627,Programming & Problem S,34%,27%,2%,0%,0%,0%,0%,5%,2%,27%,0%,2%,Brandon Steven C,
ENGR,1410,821,Programming & Problem S,29%,32%,3%,0%,0%,0%,0%,5%,0%,32%,0%,0%,Martin William D,
ENGR,1410,822,Programming & Problem S,30%,25%,5%,0%,0%,0%,0%,3%,0%,33%,0%,5%,Brandon Steven C,
ENGR,1410,823,Program & Prob Solving (H,77%,9%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,Harcum Jonathan,H
,,,,,,,,,,,,,,,,Brooks,
ENGR,1410,824,Program & Prob Solving (H,93%,0%,0%,0%,0%,0%,0%,2%,0%,5%,0%,0%,Harcum Jonathan,H
,,,,,,,,,,,,,,,,Brooks,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 61 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ENGR,1410,825,Programming & Problem S,40%,35%,3%,0%,0%,0%,0%,3%,0%,20%,0%,0%,Harcum Jonathan,
,,,,,,,,,,,,,,,,Brooks,
ENGR,1410,826,Programming & Problem S,29%,40%,3%,0%,0%,0%,0%,0%,0%,29%,0%,0%,Maier Jonathan R,
ENGR,1410,827,Programming & Problem S,24%,34%,5%,0%,0%,0%,0%,0%,0%,27%,5%,5%,Maier Jonathan R,
ENGR,1520,106,Engineering Computer Skill,53%,30%,0%,0%,0%,0%,0%,0%,0%,17%,0%,0%,Miller Matthew Kent,
ENGR,1520,107,Engineering Computer Skill,64%,16%,4%,0%,0%,0%,0%,0%,0%,16%,0%,0%,Miller Matthew Kent,
ENGR,2080,281,Engr Graphics & Machine,35%,26%,2%,2%,5%,0%,0%,9%,0%,5%,9%,7%,Walker Kyle J,
ENGR,2080,281,Engr Graphics & Machine,35%,26%,2%,2%,5%,0%,0%,9%,0%,5%,9%,7%,Walker Kyle J,
ENGR,2080,282,Engr Graphics & Machine,66%,16%,2%,0%,2%,0%,0%,2%,0%,9%,0%,2%,Walker Kyle J,
ENGR,2080,282,Engr Graphics & Machine,66%,16%,2%,0%,2%,0%,0%,2%,0%,9%,0%,2%,Walker Kyle J,
ENGR,2080,284,Engr Graphics & Machine,65%,12%,2%,0%,2%,0%,0%,2%,0%,12%,2%,2%,Garon Alexander R,
ENGR,2080,285,Engr Graphics & Machine,44%,16%,7%,0%,2%,0%,0%,0%,0%,26%,0%,5%,Plaunt Jessica,
ENGR,2080,286,Engr Graphics & Machine,37%,29%,0%,5%,0%,0%,0%,10%,0%,12%,0%,7%,Plaunt Jessica,
ENGR,2080,682,Engr Graphics & Machine,67%,5%,5%,0%,0%,0%,0%,0%,0%,19%,2%,2%,THOMAS VISHAL,
,,,,,,,,,,,,,,,,JOSEPH,
ENGR,2080,684,Engr Graphics & Machine,42%,14%,2%,0%,0%,0%,0%,16%,0%,19%,5%,2%,THOMAS VISHAL,
,,,,,,,,,,,,,,,,JOSEPH,
ENGR,2080,882,Engr Graphics & Machine,51%,19%,2%,0%,0%,0%,0%,9%,0%,14%,5%,0%,Patel Apurva,
ENGR,2080,884,Engr Graphics & Machine,32%,22%,11%,0%,0%,0%,0%,8%,0%,16%,5%,5%,Patel Apurva,
ENGR,2100,101,CAD & Engineering Applica,55%,20%,2%,0%,2%,0%,0%,10%,0%,6%,2%,4%,Yasmin Nighat,
ENGR,2100,102,CAD & Engineering Applica,57%,22%,0%,0%,0%,0%,0%,0%,0%,17%,2%,2%,Yasmin Nighat,
ENGR,2100,105,CAD & Engineering Applica,44%,19%,6%,0%,0%,0%,0%,4%,0%,26%,0%,2%,Shoai Naini Shervin,
ENGR,2100,106,CAD & Engineering Applica,23%,42%,6%,0%,0%,0%,0%,4%,0%,19%,4%,2%,Cassule Leonildo,
,,,,,,,,,,,,,,,,Nelson,
ENR,1020,1,Intro to Envir & Natur Res I,84%,4%,0%,0%,0%,0%,0%,2%,0%,4%,2%,4%,Barrett Russell K,
ENR,3020,1,Nat Res Measurements,64%,22%,3%,3%,0%,0%,0%,0%,0%,6%,3%,0%,Barrett Russell K,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 62 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ENR,4130,2,Restoration Ecology,27%,50%,12%,4%,0%,0%,0%,4%,0%,4%,0%,0%,Hagan Althea,
,,,,,,,,,,,,,,,,Simone Hotaling,
ENR,4500,1,Conservation Issues,84%,6%,0%,3%,0%,0%,0%,3%,0%,3%,0%,0%,Johnson Alan R.,
ENR,4500,2,Conservation Issues,77%,8%,8%,0%,4%,0%,0%,0%,0%,4%,0%,0%,Johnson Alan R.,
ENR,6130,1,Restoration Ecology,59%,29%,0%,0%,0%,0%,0%,0%,0%,12%,0%,0%,Hagan Althea,
,,,,,,,,,,,,,,,,Simone Hotaling,
ENSP,2000,1,Intro Environ Sci,64%,31%,2%,0%,0%,0%,0%,2%,0%,2%,0%,0%,Owino Tom O.,
ENSP,2000,2,Intro Environ Sci,69%,30%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,Carraway Elizabeth R.,
ENSP,2000,3,Intro Environ Sci,70%,23%,2%,0%,0%,0%,0%,0%,0%,4%,0%,2%,Nammouz Minory,
ENSP,2000,4,Intro Environ Sci,76%,20%,0%,0%,0%,0%,0%,2%,0%,2%,0%,0%,Scribner Emily Don,
ENSP,4000,1,Studies in Environmental S,57%,33%,0%,0%,0%,0%,0%,0%,0%,5%,5%,0%,Thompson Margaret,
,,,,,,,,,,,,,,,,Louise,
ENT,6520,1,Insect Ecology,38%,50%,0%,0%,0%,0%,0%,0%,0%,0%,13%,0%,Blubaugh Carmen,
ENT,8090,1,Seminar in Entomology,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Greene Jeremy K,
ENT,8100,1,The Insect Apocalypse,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Caterino Michael S,
ENTR,1010,2,Entrepreneurial Mindset,93%,0%,0%,0%,0%,0%,0%,5%,0%,0%,1%,0%,Hannon John Michael,
ENTR,1090,2,How to Start a Startup,90%,7%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,Hannon John Michael,
ESED,9910,3,Dissertation Rsrch and Wri,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Gallagher Eliza,
,,,,,,,,,,,,,,,,Dargan,
ESED,9910,5,Dissertation Rsrch and Wri,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,High Karen Ann,
ETOX,8610,1,Departmental Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Van den Hurk Peter,
FDSC,2140,1,Fd Resources & Soc,77%,17%,0%,0%,0%,0%,0%,0%,0%,4%,0%,1%,Dawson Paul L,
FDSC,3040,1,Eval Dairy Products,75%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,McGregor John U.,
FDSC,4020,1,Food Chemistry II,81%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Chen Feng,
FDSC,4030,1,Food Ch & Analysis,78%,17%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Dawson Paul L,
FDSC,4080,1,Food Process Eng,84%,11%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,Turner Aaron Paul,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 63 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
FDSC,4090,1,TQM for Food & Pckg Indu,60%,25%,5%,0%,0%,0%,0%,0%,0%,10%,0%,0%,McGregor John U.,
FDSC,4500,12,Creative Inquiry-Food Scie,80%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Dawson Paul L,
FIN,2010,401,Intro to Personal Finance,93%,4%,0%,1%,0%,0%,0%,0%,0%,1%,1%,0%,Harris Joshua W,
FIN,2010,402,Intro to Personal Finance,86%,5%,2%,0%,1%,0%,0%,4%,0%,1%,1%,2%,Harris Joshua W,
FIN,3040,1,Risk & Insurance,43%,33%,5%,0%,0%,0%,0%,0%,0%,10%,5%,5%,McMillan Kerri D,
FIN,3050,1,Investment Analysis,25%,28%,10%,0%,0%,0%,0%,3%,0%,23%,5%,8%,McMillan Kerri D,
FIN,3050,2,Investment Analysis,31%,21%,7%,0%,0%,0%,0%,0%,0%,40%,0%,0%,McMillan Kerri D,
FIN,3050,3,Investment Analysis,16%,31%,9%,0%,0%,0%,0%,2%,0%,36%,2%,4%,McMillan Kerri D,
FIN,3050,401,Investment Analysis,20%,31%,7%,0%,0%,0%,0%,4%,0%,31%,0%,7%,Zykaj Blerina,
FIN,3060,1,Corporation Finance,24%,22%,8%,0%,0%,0%,0%,6%,0%,34%,2%,4%,Franklin Ramon,
,,,,,,,,,,,,,,,,Tolbert,
FIN,3060,2,Corporation Finance,4%,27%,17%,4%,2%,0%,0%,8%,0%,27%,0%,12%,Franklin Ramon,
,,,,,,,,,,,,,,,,Tolbert,
FIN,3060,3,Corporation Finance,10%,24%,4%,0%,0%,0%,0%,30%,4%,22%,2%,4%,Franklin Ramon,
,,,,,,,,,,,,,,,,Tolbert,
FIN,3060,5,Corporation Finance,39%,39%,6%,0%,0%,0%,0%,0%,0%,12%,0%,4%,Sun Minxing,
FIN,3060,6,Corporation Finance,31%,35%,10%,0%,0%,0%,0%,8%,0%,14%,0%,2%,Sun Minxing,
FIN,3060,7,Corporation Finance,32%,22%,8%,2%,4%,0%,0%,0%,0%,24%,2%,6%,Sun Minxing,
FIN,3060,401,Corporation Finance,68%,16%,3%,0%,1%,0%,0%,3%,0%,6%,0%,4%,Godbey Jonathan M,
FIN,3060,402,Corporation Finance,67%,13%,4%,1%,2%,0%,0%,2%,0%,5%,1%,4%,Godbey Jonathan M,
FIN,3060,601,Corporation Finance,56%,33%,0%,0%,0%,0%,0%,6%,0%,0%,0%,6%,Wolf Jack G.,
FIN,3070,1,Prin of Real Estate,44%,44%,3%,0%,0%,0%,0%,0%,0%,10%,0%,0%,Shen Yannan,
FIN,3070,2,Prin of Real Estate,42%,29%,1%,0%,0%,0%,0%,3%,0%,22%,0%,3%,Shen Yannan,
FIN,3070,3,Prin of Real Estate,49%,14%,12%,0%,0%,0%,0%,4%,0%,20%,0%,2%,Springer Thomas M,
FIN,3070,4,Prin of Real Estate,36%,28%,9%,0%,0%,0%,0%,2%,0%,23%,0%,2%,Springer Thomas M,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 64 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
FIN,3080,1,Fin Inst & Mkts,54%,31%,3%,0%,0%,0%,0%,0%,0%,13%,0%,0%,Greene Daniel,
,,,,,,,,,,,,,,,,Thomas,
FIN,3080,401,Fin Inst & Mkts,44%,26%,2%,0%,0%,0%,0%,0%,0%,24%,0%,4%,Greene Daniel,
,,,,,,,,,,,,,,,,Thomas,
FIN,3110,1,Financial Management I,43%,31%,1%,0%,0%,0%,0%,11%,0%,12%,0%,1%,Lockhart George,
,,,,,,,,,,,,,,,,Brandon,
FIN,3110,3,Financial Management I,5%,13%,3%,0%,0%,0%,0%,35%,0%,23%,10%,13%,Wolf Jack G.,
FIN,3110,4,Financial Management I,17%,37%,11%,0%,0%,0%,0%,14%,0%,14%,3%,3%,Xu Weike,
FIN,3110,5,Financial Management I,40%,40%,3%,0%,0%,0%,0%,0%,0%,14%,0%,3%,Harris Joshua W,
FIN,3110,6,Financial Management I,40%,36%,2%,0%,0%,0%,0%,0%,0%,20%,0%,2%,Harris Joshua W,
FIN,3120,1,Financial Management II,21%,24%,8%,0%,0%,0%,0%,13%,0%,26%,0%,8%,Zykaj Blerina,
FIN,3120,2,Financial Management II,18%,27%,9%,3%,0%,0%,0%,3%,0%,27%,0%,12%,Zykaj Blerina,
FIN,3120,4,Financial Management II,30%,25%,2%,2%,0%,0%,0%,9%,0%,25%,0%,7%,Xu Weike,
FIN,3120,5,Financial Management II,22%,27%,7%,0%,0%,0%,0%,15%,0%,27%,0%,2%,Xu Weike,
FIN,4020,1,Corporate Valuation,36%,21%,11%,2%,0%,0%,0%,0%,0%,26%,0%,3%,Morgan Angela G.,
FIN,4030,1,Spreadsheet Apps in Finan,44%,23%,3%,0%,0%,0%,0%,0%,0%,28%,0%,3%,Intintoli Vincent,
,,,,,,,,,,,,,,,,James,
FIN,4030,2,Spreadsheet Apps in Finan,51%,28%,5%,0%,0%,0%,0%,0%,0%,15%,0%,0%,Intintoli Vincent,
,,,,,,,,,,,,,,,,James,
FIN,4040,1,Financial Modeling,18%,21%,4%,7%,0%,0%,0%,11%,0%,29%,0%,11%,Wolf Jack G.,
FIN,4050,1,Portfolio Management & T,8%,12%,8%,0%,0%,0%,0%,0%,0%,52%,0%,20%,Alexander John C,
FIN,4050,2,Portfolio Management & T,0%,13%,7%,0%,0%,0%,0%,0%,0%,47%,0%,33%,Alexander John C,
FIN,4080,1,Mgt of Fin Inst,31%,29%,3%,0%,0%,0%,0%,1%,0%,35%,0%,1%,Chernykh Lyudmila A,
FIN,4110,1,Int Fin Mgt,83%,10%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,DeVault Luke Asher,
FIN,4110,2,Int Fin Mgt,73%,24%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,DeVault Luke Asher,
FIN,4150,1,Real Estate Investmt,38%,27%,4%,4%,0%,0%,0%,4%,0%,19%,0%,4%,Springer Thomas M,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 65 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
FIN,4160,2,Real Estate Val,28%,39%,6%,0%,0%,0%,0%,0%,0%,28%,0%,0%,Blackwood Bryan T,
FIN,4170,1,Real Estate Finance,35%,25%,15%,0%,0%,0%,0%,0%,0%,25%,0%,0%,Shen Yannan,
FIN,4980,7,CI in Finance: SIE,85%,0%,0%,0%,0%,0%,0%,8%,0%,8%,0%,0%,Harris Joshua W,
FNR,4700,10,Kennedy Wtrfowl & Wetla,90%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,Kaminski Richard,
,,,,,,,,,,,,,,,,Marvin,
FNR,4700,10,Kennedy Wtrfowl & Wetla,90%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,Kaminski Richard,
,,,,,,,,,,,,,,,,Marvin,
FNR,4700,19,Soil Judging Project,80%,10%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,Mikhailova Elena,
FNR,4990,3,Natural Resources Seminar,83%,8%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,Johnson Alan R.,
FNR,8080,1,Graduate Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Hagan Althea,
,,,,,,,,,,,,,,,,Simone Hotaling,
FNR,8080,4,Graduate Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Hagan Althea,
,,,,,,,,,,,,,,,,Simone Hotaling,
FOR,1010,1,Intro to Forestry,50%,6%,22%,0%,0%,0%,0%,0%,0%,13%,0%,9%,Peairs Stephen E,
FOR,2060,1,Forestry Ecology,65%,21%,7%,0%,0%,0%,0%,2%,1%,1%,0%,1%,Hagan Donald L,
FOR,3080,1,Remote Sensing in Forestr,78%,19%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,Ritter Brian A,
FOR,4060,1,Forested Watershed Mgmt,79%,16%,3%,0%,0%,0%,0%,0%,0%,3%,0%,0%,Hanks Richard D,
FOR,4080,1,Wood and Paper Products,54%,38%,3%,0%,0%,0%,0%,0%,0%,5%,0%,0%,Layton Patricia A,
FOR,4180,1,Forest Resource Valuation,45%,36%,12%,0%,0%,0%,0%,0%,0%,6%,0%,0%,Straka Thomas J,
FOR,4340,1,GIS for Natural Resources,80%,15%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Baldwin Robert Fritz,
FOR,4650,1,Silviculture,13%,50%,20%,0%,0%,0%,0%,0%,0%,13%,0%,3%,Wang Gaofeng G,
FOR,8070,3,Coastal Ecology,73%,13%,0%,0%,0%,0%,0%,7%,0%,7%,0%,0%,Stiglitz Roxanne,
,,,,,,,,,,,,,,,,Yvonne,
FOR,8070,16,Invasion Ecology,83%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Hartshorn Jessica Ann,
FR,1010,1,Elementary French,58%,32%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,Sawyer Amy Lyn,
,,,,,,,,,,,,,,,,Griffin,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 66 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
FR,1010,2,Elementary French,58%,25%,0%,0%,0%,0%,0%,0%,0%,8%,0%,8%,Sawyer Amy Lyn,
,,,,,,,,,,,,,,,,Griffin,
FR,1020,1,Elementary French,33%,28%,6%,0%,0%,0%,0%,6%,0%,17%,11%,0%,Salces Y Nedeo Anne,
,,,,,,,,,,,,,,,,Carole,
FR,1020,3,Elementary French,0%,17%,0%,0%,0%,0%,0%,33%,0%,17%,17%,17%,Salces Y Nedeo Anne,
